    Data: Real and imaginary indices of refraction of ice at -7 C 
    for the 4.43e-2 to 167 micron range, and indices of ice at 
    -1, -5, -20, and -60 C for the 167 to 8.6e6 micron range.

    Reference:S. G. Warren, Optical constants of ice from the ultraviolet 
    to the microwave, Applied Optics, vol. 23, pgs. 1206-1225, 1984.
    The values here were generated from a program of S. Warren.

    Format: wavenumber (cm-1), wavelength (microns), real and
    imaginary indices of refraction.
    468 values for ice at  -7 C, 4.43e-2 to 167 microns
    62  values for ice at  -1 C, 167 to 8.6e6 microns
    62  values for ice at  -5 C, 167 to 8.6e6 microns
    62  values for ice at -20 C, 167 to 8.6e6 microns
    62  values for ice at -60 C, 167 to 8.6e6 microns
    2x,2(1x,e10.3),2x,1(1x,f6.4),1(1x,e10.3)


    ICE
    Temperature = 266.16 K (-7 C)
    cm-1       microns     real    imaginary
    8.333E+03  1.200E+00   1.2980  6.710E-06
    8.403E+03  1.190E+00   1.2982  5.760E-06
    8.475E+03  1.180E+00   1.2984  4.770E-06
    8.547E+03  1.170E+00   1.2986  3.840E-06
    8.621E+03  1.160E+00   1.2987  3.040E-06
    8.696E+03  1.150E+00   1.2989  2.290E-06
    8.772E+03  1.140E+00   1.2991  2.250E-06
    8.850E+03  1.130E+00   1.2993  2.040E-06
    8.929E+03  1.120E+00   1.2995  1.820E-06
    9.009E+03  1.110E+00   1.2996  1.760E-06
    9.091E+03  1.100E+00   1.2998  1.700E-06
    9.174E+03  1.090E+00   1.3000  1.730E-06
    9.259E+03  1.080E+00   1.3001  1.740E-06
    9.346E+03  1.070E+00   1.3003  1.810E-06
    9.434E+03  1.060E+00   1.3005  1.960E-06
    9.524E+03  1.050E+00   1.3007  2.170E-06
    9.615E+03  1.040E+00   1.3008  2.330E-06
    9.709E+03  1.030E+00   1.3010  2.330E-06
    9.804E+03  1.020E+00   1.3012  2.250E-06
    9.901E+03  1.010E+00   1.3013  2.000E-06
    1.000E+04  1.000E+00   1.3015  1.620E-06
    1.010E+04  9.900E-01   1.3017  1.330E-06
    1.020E+04  9.800E-01   1.3018  1.120E-06
    1.031E+04  9.700E-01   1.3020  9.260E-07
    1.042E+04  9.600E-01   1.3022  7.550E-07
    1.053E+04  9.500E-01   1.3023  6.020E-07
    1.064E+04  9.400E-01   1.3025  5.530E-07
    1.075E+04  9.300E-01   1.3027  5.110E-07
    1.087E+04  9.200E-01   1.3028  4.740E-07
    1.099E+04  9.100E-01   1.3030  4.440E-07
    1.111E+04  9.000E-01   1.3032  4.200E-07
    1.124E+04  8.900E-01   1.3033  3.920E-07
    1.136E+04  8.800E-01   1.3035  3.350E-07
    1.149E+04  8.700E-01   1.3037  2.650E-07
    1.163E+04  8.600E-01   1.3039  2.150E-07
    1.176E+04  8.500E-01   1.3040  1.830E-07
    1.190E+04  8.400E-01   1.3042  1.510E-07
    1.205E+04  8.300E-01   1.3044  1.450E-07
    1.220E+04  8.200E-01   1.3046  1.430E-07
    1.235E+04  8.100E-01   1.3047  1.400E-07
    1.250E+04  8.000E-01   1.3049  1.340E-07
    1.266E+04  7.900E-01   1.3051  1.180E-07
    1.282E+04  7.800E-01   1.3053  1.020E-07
    1.299E+04  7.700E-01   1.3055  8.580E-08
    1.316E+04  7.600E-01   1.3057  7.080E-08
    1.333E+04  7.500E-01   1.3059  5.870E-08
    1.351E+04  7.400E-01   1.3060  4.920E-08
    1.370E+04  7.300E-01   1.3062  4.300E-08
    1.389E+04  7.200E-01   1.3065  4.030E-08
    1.408E+04  7.100E-01   1.3067  3.440E-08
    1.429E+04  7.000E-01   1.3069  2.900E-08
    1.449E+04  6.900E-01   1.3071  2.400E-08
    1.471E+04  6.800E-01   1.3073  2.090E-08
    1.493E+04  6.700E-01   1.3076  1.890E-08
    1.515E+04  6.600E-01   1.3078  1.660E-08
    1.538E+04  6.500E-01   1.3080  1.430E-08
    1.562E+04  6.400E-01   1.3083  1.220E-08
    1.587E+04  6.300E-01   1.3086  1.040E-08
    1.613E+04  6.200E-01   1.3088  8.580E-09
    1.639E+04  6.100E-01   1.3091  6.890E-09
    1.667E+04  6.000E-01   1.3094  5.730E-09
    1.695E+04  5.900E-01   1.3097  4.880E-09
    1.724E+04  5.800E-01   1.3100  4.040E-09
    1.754E+04  5.700E-01   1.3103  3.520E-09
    1.786E+04  5.600E-01   1.3106  3.290E-09
    1.818E+04  5.500E-01   1.3110  3.110E-09
