
  Data: Real and imaginary indices of refraction of H2O-ice, amorphous
  nitric acid solutions, and nitric acid hydrates.
  
  Reference: O. B. Toon, M. A. Tolbert, B. G. Koehler, A. M. Middlebrook,
  and J. Jordan, The infrared optical constants of H2O-ice, amorphous 
  acid solutions, and nitric acid hydrates, J. Geophys. Res., accepted
  for publication, 1994.

  Format: wavenumber(cm-1), real index,imaginary index
   110 lines, BETA NAT film  at 196 K
   133 lines, NAD film at 184 K
   112 lines, ALPHA NAT film at 181 k
   135 lines, NAM film at 179 K
   173 lines, water ice film at 163 K
   120 lines, A NAT film at 153 K
   113 lines, A NAD film at 153 K
   124 lines, A NAM film at 153 K
  2x,f6.1,2x,f5.3,2x,e8.2


  BETA NAT film at 196 K 
   110    2x,f6.1,2x,f5.3,2x,e8.2
   cm-1   n      k
  1635.0  1.735  1.86E-01
  1651.0  1.772  2.73E-01
  1670.0  1.673  4.50E-01
  1674.0  1.624  4.65E-01
  1682.0  1.526  4.45E-01
  1701.0  1.443  2.78E-01
  1709.0  1.457  2.29E-01
  1728.0  1.515  1.69E-01
  1751.0  1.580  1.55E-01
  1801.0  1.641  2.01E-01
  1817.0  1.645  2.17E-01
  1847.0  1.636  2.35E-01
  1871.0  1.639  2.40E-01
  1894.0  1.636  2.54E-01
  1940.0  1.623  2.58E-01
  1975.0  1.620  2.55E-01
  2025.0  1.629  2.52E-01
  2036.0  1.634  2.53E-01
  2083.0  1.652  2.72E-01
  2125.0  1.661  3.08E-01
  2171.0  1.651  3.61E-01
  2214.0  1.600  4.20E-01
  2249.0  1.515  4.35E-01
  2279.0  1.442  3.96E-01
  2299.0  1.413  3.44E-01
  2337.0  1.453  2.61E-01
  2360.0  1.479  2.63E-01
  2387.0  1.484  2.64E-01
  2422.0  1.490  2.47E-01
  2453.0  1.517  2.43E-01
  2488.0  1.537  2.63E-01
  2519.0  1.542  2.89E-01
  2600.0  1.508  3.54E-01
  2654.0  1.431  3.79E-01
  2700.0  1.371  3.47E-01
  2769.0  1.339  2.88E-01
  2889.0  1.312  2.20E-01
  3001.0  1.303  1.51E-01
  3109.0  1.321  9.24E-02
  3232.0  1.356  4.70E-02
  3325.0  1.383  3.02E-02
  3437.0  1.410  2.01E-02
  3618.0  1.440  1.34E-02
  3714.0  1.452  1.18E-02
  3834.0  1.463  1.09E-02
  4070.0  1.480  0.00E+00
  4246.0  1.490  0.00E+00
  4459.0  1.500  0.00E+00
  4725.0  1.510  0.00E+00
  5131.0  1.520  0.00E+00
  6002.0  1.530  0.00E+00

  water ice film at 163 K 
   173    2x,f6.1,2x,f5.3,2x,e8.2
   cm-1   n      k
   482.0  1.406  6.98E-03
   490.0  1.418  8.24E-03
   505.0  1.434  8.62E-03
   521.0  1.451  8.28E-03
   528.0  1.461  1.08E-02
   540.0  1.471  2.07E-02
   548.0  1.475  2.63E-02
   559.0  1.481  3.10E-02
   598.0  1.505  4.25E-02
   636.0  1.536  6.38E-02
   675.0  1.567  1.02E-01
   714.0  1.592  1.55E-01
   752.0  1.612  2.45E-01
   791.0  1.568  3.69E-01
   810.0  1.503  4.33E-01
   829.0  1.413  4.65E-01
   841.0  1.363  4.62E-01
   868.0  1.257  4.33E-01
   906.0  1.131  3.52E-01
   930.0  1.076  2.58E-01
   945.0  1.067  1.84E-01
   984.0  1.139  6.11E-02
  1022.0  1.208  2.73E-02
  1045.0  1.239  1.95E-02
  1057.0  1.254  1.83E-02
  1099.0  1.285  3.22E-02
  1115.0  1.290  3.43E-02
  1138.0  1.296  3.49E-02
  1176.0  1.307  3.53E-02
  1215.0  1.316  3.64E-02
  1254.0  1.323  3.75E-02
  1292.0  1.330  3.88E-02
  1331.0  1.337  4.17E-02
  1369.0  1.342  4.71E-02
  1408.0  1.344  5.36E-02
  1446.0  1.343  5.98E-02
