                                                                        
  Data: Real and imaginary indices of refraction of sulfuric acid       
  solutions at 75 and 90% H2SO4, by weight, plus the standard       
  deviations of the measurements.                  
        Real and imaginary indices of refraction of nitric acid       
  solutions at 68% HNO3, by weight, plus the standard       
  deviations of the measurements.                  
                                                                        
  Reference: E. E. Remsberg, D. Lavery, and B. Crawford, Optical        
  constants for sulfuric and nitric acids, J. Chem. and Engin. Data,    
  vol.19, pgs. 263-255, 1974.                                           
                                                                        
  Format: wavenumber(cm-1), wavelength(microns), imaginary index,       
  imaginary index standard deviation, real index, real index standard   
  deviation, correlation coefficient.
  184 lines at 75% H2SO4                                                
  211 lines at 90% H2SO4                                                
   44 lines at 68% HNO3                                                
  2x,f6.1,2x,f6.3,5(2x,f6.4)                                            
                                                                        
   OPTICAL CONSTANTS FOR 75% AQUEOUS H2SO4                                 
   cm-1    microns    k     sk     n        sn      rho                     
   cm-1    microns    k     sk     n        sn      rho                     
  1567.1   6.381   .0660   .0030  1.3190   .0060  -.6700
  1545.5   6.470   .0620   .0030  1.3060   .0070  -.7190
  1518.9   6.584   .0590   .0030  1.2870   .0080  -.7690
  1496.4   6.683   .0590   .0030  1.2620   .0080  -.7840
  1472.3   6.792   .0650   .0030  1.2140   .0060  -.6430
  1449.3   6.900   .0750   .0030  1.1640   .0050  -.5010
  1427.3   7.006   .1070   .0050  1.0820   .0070  -.7520
  1422.6   7.029   .1260   .0050  1.0580   .0080  -.7950
  1417.9   7.053   .1530   .0060  1.0320   .0090  -.8270
  1411.0   7.087   .2040   .0080  1.0020   .0100  -.8510
  1404.1   7.122   .2700   .0100   .9930   .0110  -.8470
  1399.6   7.145   .3160   .0120   .9980   .0110  -.8360
  1392.9   7.179   .3740   .0130  1.0210   .0100  -.8070
  1388.5   7.202   .4090   .0130  1.0420   .0100  -.7830
  1382.0   7.236   .4450   .0140  1.0800   .0090  -.7430
  1375.6   7.270   .4760   .0140  1.1200   .0090  -.7040
  1369.3   7.303   .4870   .0140  1.1720   .0090  -.6590
  1365.1   7.325   .4810   .0130  1.2070   .0100  -.6940
  1361.0   7.402   .4800   .0130  1.2330   .0100  -.6870
  1354.8   7.381   .4710   .0130  1.2660   .0100  -.6810
  1348.8   7.414   .4650   .0130  1.2860   .0100  -.6790
  1344.8   7.436   .4500   .0120  1.3000   .0100  -.6800
  1338.9   7.469   .4150   .0110  1.3180   .0100  -.6830
  1335.0   7.491   .3930   .0110  1.3210   .0100  -.6840
  1329.2   7.523   .3720   .0100  1.3200   .0100  -.6840
  1325.4   7.545   .3610   .0100  1.3180   .0100  -.6840
  1319.7   7.577   .3420   .0100  1.3070   .0100  -.6780
  1316.0   7.599   .3380   .0090  1.3020   .0100  -.6740
  1312.3   7.620   .3330   .0090  1.2980   .0100  -.6720
  1306.8   7.652   .3330   .0090  1.2850   .0100  -.6650
  1303.2   7.673   .3320   .0090  1.2790   .0100  -.6620
  1296.0   7.716   .3420   .0090  1.2680   .0100  -.6610
  1287.3   7.768   .3420   .0090  1.2590   .0100  -.6590
  1277.0   7.831   .3780   .0100  1.2430   .0100  -.6690
  1268.6   7.883   .3800   .0100  1.2430   .0100  -.6700
  1258.7   7.945   .4090   .0110  1.2320   .0100  -.6780
  1250.7   7.996   .4210   .0110  1.2310   .0100  -.6810
  1241.3   8.056   .4490   .0120  1.2280   .0100  -.6860
  1233.6   8.106   .4750   .0130  1.2270   .0100  -.6900
  1226.0   8.157   .4970   .0140  1.2210   .0100  -.6930
  1217.2   8.216   .5220   .0150  1.2190   .0120  -.7340
  1208.5   8.275   .5680   .0160  1.2320   .0120  -.7330
  1200.0   8.333   .6170   .0180  1.2590   .0120  -.7250
  1191.7   8.391   .6660   .0190  1.3030   .0120  -.7110
  1183.5   8.450   .6820   .0190  1.3620   .0120  -.6990
  1175.6   8.506   .7090   .0200  1.4170   .0120  -.6870
  1174.3   8.516   .7060   .0200  1.4270   .0120  -.6860
  1169.1   8.554   .6980   .0190  1.4650   .0130  -.6850
  1165.2   8.582   .6870   .0190  1.4920   .0130  -.6860
  1160.1   8.620   .6810   .0190  1.5190   .0130  -.6850
  1155.1   8.657   .6640   .0190  1.5540   .0130  -.6880
  1151.4   8.685   .6440   .0160  1.5720   .0130  -.6940
  1146.5   8.722   .6330   .0180  1.5910   .0130  -.6960
  1142.9   8.750   .6280   .0180  1.6030   .0130  -.6970
  1138.1   8.787   .6090   .0180  1.6110   .0140  -.7040
  1132.2   8.832   .5590   .0160  1.6410   .0160  -.8090
  1128.7   8.860   .5390   .0150  1.6520   .0160  -.8150
  1125.2   8.887   .5240   .0150  1.6610   .0170  -.8200
  1121.8   8.914   .5040   .0150  1.6620   .0170  -.8230
  1117.2   8.951   .4850   .0140  1.6610   .0170  -.8250
  1113.9   8.977   .4660   .0140  1.6710   .0170  -.8320
  1109.5   9.013   .4500   .0130  1.6640   .0170  -.8320
  1106.2   9.040   .4370   .0130  1.6630   .0170  -.8330
  1101.8   9.076   .4150   .0130  1.6600   .0180  -.8350
  1098.6   9.102   .4020   .0120  1.6500   .0180  -.8310
  1095.4   9.129   .3900   .0120  1.6440   .0180  -.8290
  1091.2   9.164   .3860   .0110  1.6280   .0170  -.8190
  1088.1   9.190   .3750   .0110  1.6270   .0170  -.8190
  1085.0   9.217   .3630   .0110  1.6210   .0170  -.8160
  1080.9   9.252   .3590   .0100  1.5970   .0160  -.7970
  1078.9   9.269   .3560   .0100  1.5900   .0160  -.7910
  1077.9   9.277   .3560   .0100  1.5850   .0160  -.7870
  1074.9   9.303   .3580   .0100  1.5760   .0160  -.7790
  1070.9   9.338   .3610   .0100  1.5660   .0150  -.7680
  1067.1   9.371   .3950   .0100  1.5240   .0120  -.7460
  1063.2   9.406   .3940   .0100  1.5210   .0120  -.7450
  1060.3   9.431   .4010   .0100  1.5160   .0120  -.7440
  1057.4   9.457   .4040   .0100  1.5150   .0120  -.7440
  1053.6   9.491   .4040   .0100  1.5190   .0120  -.7460
  1050.8   9.517   .4220   .0110  1.5130   .0120  -.7480
  1048.0   9.542   .4240   .0110  1.5190   .0130  -.7510
  1047.0   9.551   .4210   .0110  1.5220   .0130  -.7510
  1044.3   9.576   .4090   .0110  1.5230   .0130  -.7490
  1041.5   9.602   .4030   .0100  1.5250   .0130  -.7490
  1037.9   9.635   .3950   .0110  1.5190   .0120  -.7440
  1035.2   9.660   .3830   .0100  1.5150   .0120  -.7380
  1031.7   9.693   .3680   .0090  1.5130   .0120  -.7330
  1029.0   9.718   .3630   .0090  1.5010   .0120  -.7240
  1026.4   9.743   .3550   .0090  1.4860   .0120  -.7140
  1022.9   9.776   .3510   .0090  1.4650   .0110  -.7040
  1021.2   9.792   .3560   .0090  1.4480   .0110  -.7020
  1019.5   9.809   .3610   .0090  1.4320   .0110  -.7040
  1017.8   9.825   .3630   .0090  1.4230   .0110  -.7050
  1016.1   9.842   .3600   .0090  1.4150   .0110  -.7040
  1013.6   9.866   .3650   .0090  1.3930   .0110  -.7110
  1011.9   9.882   .3740   .0100  1.3890   .0130  -.6860
  1010.2   9.899   .3810   .0100  1.3740   .0120  -.6740
  1008.6   9.915   .3890   .0100  1.3600   .0120  -.6650
  1006.1   9.939   .4090   .0110  1.3410   .0120  -.6600
  1004.5   9.955   .4290   .0110  1.3230   .0120  -.6590
  1002.0   9.980   .4600   .0120  1.2990   .0120  -.6630
  1000.4   9.996   .4860   .0130  1.2880   .0120  -.6710
   998.8  10.012   .5130   .0130  1.2800   .0120  -.6780
   996.4  10.036   .5540   .0150  1.2730   .0120  -.6880
   994.8  10.052   .5890   .0160  1.2710   .0120  -.6950
   993.3  10.067   .6160   .0160  1.2750   .0120  -.6980
   990.9  10.092   .6590   .0180  1.2830   .0120  -.7000
   989.4  10.107   .6930   .0190  1.2960   .0120  -.6990
   987.0  10.132   .7380   .0200  1.3200   .0130  -.6970
   985.5  10.147   .7640   .0210  1.3370   .0130  -.6940
   984.0  10.163   .7880   .0220  1.3590   .0130  -.6890
   982.4  10.179   .8170   .0230  1.3780   .0130  -.6820
   980.2  10.202   .8440   .0230  1.4180   .0130  -.6730
   978.7  10.218   .8700   .0240  1.4460   .0130  -.6640
   976.4  10.242   .9150   .0250  1.4800   .0130  -.6450
   974.9  10.257   .9180   .0250  1.5100   .0130  -.6420
   973.4  10.273   .9040   .0260  1.5520   .0140  -.5790
   971.2  10.297   .9090   .0270  1.5970   .0150  -.6830
   969.8  10.311   .9130   .0270  1.6240   .0150  -.6830
   968.3  10.327   .9210   .0270  1.6520   .0150  -.6820
   966.9  10.342   .9260   .0280  1.6810   .0150  -.6810
   965.4  10.358   .9260   .0280  1.7100   .0160  -.6810
   963.3  10.381   .9010   .0280  1.7550   .0160  -.6940
   960.4  10.412   .8700   .0270  1.8080   .0160  -.7080
   958.3  10.435   .8380   .0270  1.8420   .0170  -.7200
   955.5  10.466   .8120   .0260  1.8700   .0170  -.7300
   953.4  10.489   .7800   .0250  1.8930   .0170  -.7410
   951.3  10.512   .7550   .0250  1.9070   .0180  -.7490
   948.6  10.542   .6900   .0230  1.9360   .0180  -.7700
   946.5  10.565   .6440   .0220  1.9460   .0180  -.7850
   943.8  10.595   .6020   .0210  1.9420   .0180  -.8010
   941.8  10.618   .5890   .0210  1.9310   .0190  -.8080
   939.8  10.641   .5620   .0210  1.9120   .0190  -.8230
   937.2  10.670   .5080   .0200  1.9040   .0200  -.8450
   935.2  10.693   .4890   .0190  1.8940   .0200  -.8530
   932.6  10.723   .4720   .0190  1.8620   .0200  -.8640
   930.7  10.745   .4520   .0180  1.8450   .0210  -.8730
   928.1  10.775   .4440   .0180  1.8250   .0210  -.8760
   926.2  10.797   .4420   .0180  1.8110   .0210  -.8760
   924.3  10.819   .4390   .0180  1.8030   .0210  -.8780
   923.1  10.833   .4370   .0180  1.7960   .0210  -.8790
