
  Data: Imaginary indices of refraction for water and ice in
  the 0.67 to 2.5 micron range. 

  Reference: L. Kou, D. Labrie, and P. Chylek, Refractive indices of 
  water and ice in the 0.65 to 2.5 micron range, Applied Optics,
  vol. 32, pgs. 3531-3540, 1993.

  Format: wavenumber (cm-1), wavelength (microns), imaginary index
  of refraction, error (percent)
  147 values from  4000 to  6920 cm-1 (2x,f6.0,1x,f6.4,3(4x,e10.3,1x,f4.1))
  at 22 and -8 C for water, and at -25 C for ice.
  186 values from  6940 to 10640 cm-1 (2x,f6.0,1x,f6.4,2(4x,e10.3,1x,f4.1))
  at 22 and -8 C for water.
  218 values from 10660 to 15000 cm-1 (2x,f6.0,1x,f6.4,1(4x,e10.3,1x,f4.1))
  at 22 C for water.


 		    Water              Water              ICE 
		    22 C               -8 C               -25 C
   cm-1  microns    imaginary  error   imaginary  error   imaginary  error   

   7340. 1.3624     4.040E-05  1.3     3.400E-05  2.1
   7360. 1.3587     3.840E-05  1.8     3.270E-05  2.5
   7380. 1.3550     3.660E-05  1.9     3.140E-05  2.5
   7400. 1.3514     3.480E-05  2.1     3.030E-05  2.7
   7420. 1.3477     3.320E-05  1.6     2.910E-05  2.2
   7440. 1.3441     3.090E-05  1.7     2.760E-05  2.2
   7460. 1.3405     2.880E-05  1.1     2.600E-05  1.5
   7480. 1.3369     2.700E-05  1.3     2.450E-05  1.6
   7500. 1.3333     2.500E-05  1.2     2.300E-05  1.6
   7520. 1.3298     2.330E-05  1.1     2.160E-05  1.3
   7540. 1.3263     2.160E-05  1.3     2.020E-05  1.5
   7560. 1.3228     2.010E-05  1.1     1.900E-05  1.3
   7580. 1.3193     1.880E-05  1.2     1.780E-05  1.3
   7600. 1.3158     1.750E-05  1.5     1.680E-05  1.6
   7620. 1.3123     1.650E-05  1.1     1.590E-05  1.1
   7640. 1.3089     1.550E-05  1.4     1.520E-05  1.5
   7660. 1.3055     1.470E-05  1.3     1.450E-05  1.4
   7680. 1.3021     1.400E-05  1.3     1.390E-05  1.4
   7700. 1.2987     1.340E-05  1.1     1.350E-05  1.2
   7720. 1.2953     1.290E-05  1.8     1.300E-05  1.8
   7740. 1.2920     1.250E-05  1.4     1.270E-05  1.5
   7760. 1.2887     1.210E-05  1.1     1.240E-05  1.3
   7780. 1.2853     1.190E-05  1.5     1.210E-05  1.6
   7800. 1.2821     1.160E-05  1.9     1.200E-05  1.9
   7820. 1.2788     1.130E-05  1.4     1.190E-05  1.6
   7840. 1.2755     1.120E-05  1.2     1.180E-05  1.4
   7860. 1.2723     1.100E-05  1.6     1.170E-05  1.7
   7880. 1.2690     1.090E-05  1.6     1.170E-05  1.7
   7900. 1.2658     1.090E-05  1.6     1.170E-05  1.7
   7920. 1.2626     1.090E-05  1.6     1.170E-05  1.7
   7940. 1.2594     1.100E-05  1.8     1.190E-05  1.8
   7960. 1.2563     1.100E-05  1.5     1.200E-05  1.6
   7980. 1.2531     1.100E-05  1.7     1.190E-05  1.9
   8000. 1.2500     1.110E-05  1.6     1.210E-05  1.7
   8020. 1.2469     1.120E-05  2.0     1.220E-05  2.0
   8040. 1.2438     1.130E-05  1.5     1.230E-05  1.6
   8060. 1.2407     1.140E-05  1.5     1.240E-05  1.6
   8080. 1.2376     1.140E-05  1.6     1.240E-05  1.7
   8100. 1.2346     1.150E-05  1.8     1.250E-05  1.8
   8120. 1.2315     1.160E-05  1.7     1.250E-05  1.8
   8140. 1.2285     1.170E-05  1.5     1.250E-05  1.8
   8160. 1.2255     1.170E-05  1.4     1.260E-05  1.6
   8180. 1.2225     1.180E-05  2.0     1.260E-05  2.1
   8200. 1.2195     1.180E-05  1.5     1.250E-05  1.7
   8220. 1.2165     1.200E-05  1.6     1.260E-05  1.8
   8240. 1.2136     1.200E-05  1.7     1.250E-05  1.8
   8260. 1.2107     1.210E-05  1.2     1.250E-05  1.3
   8280. 1.2077     1.210E-05  1.8     1.240E-05  2.0
   8300. 1.2048     1.220E-05  1.5     1.250E-05  1.8
   8320. 1.2019     1.210E-05  1.9     1.220E-05  2.0
   8340. 1.1990     1.220E-05  1.2     1.220E-05  1.3
   8360. 1.1962     1.220E-05  1.3     1.200E-05  1.5
   8380. 1.1933     1.210E-05  1.7     1.190E-05  1.9
   8400. 1.1905     1.200E-05  1.6     1.160E-05  1.7
