==Reference Solar Irradiance, Rayleigh Scattering, O2 and O3 Xsection==
=============================WMO, 1985, P355-362=======================
spec.  wavelength     irrad.    ray.scat.  O2 Herz.    xs(cm-2) ozone
inte.  range (nm)   (ph/cm2/s)   xs(cm2)    xs(cm2)   T=203K     T=273K
-----------------------------------------------------------------------
140   757.5 762.5   2.38e+15   1.22e-27   0.00e-00   2.92e-22  2.92e-22 
141   762.5 767.5   2.34e+15   1.19e-27   0.00e-00   2.76e-22  2.76e-22 
142   767.5 772.5   2.32e+15   1.16e-27   0.00e-00   2.70e-22  2.70e-22 
143   772.5 777.5   2.30e+15   1.13e-27   0.00e-00   2.80e-22  2.80e-22 
144   777.5 782.5   2.33e+15   1.10e-27   0.00e-00   2.85e-22  2.85e-22 
145   782.5 787.5   2.34e+15   1.07e-27   0.00e-00   2.52e-22  2.52e-22 
146   787.5 792.5   2.29e+15   1.04e-27   0.00e-00   2.20e-22  2.20e-22 
147   792.5 797.5   2.29e+15   1.02e-27   0.00e-00   1.82e-22  1.82e-22 
148   797.5 802.5   2.27e+15   9.90e-28   0.00e-00   1.63e-22  1.63e-22 
149   802.5 807.5   2.27e+15   9.66e-28   0.00e-00   1.75e-22  1.75e-22 
150   807.5 812.5   2.20e+15   9.42e-28   0.00e-00   1.90e-22  1.90e-22 
151   812.5 817.5   2.22e+15   9.19e-28   0.00e-00   1.85e-22  1.85e-22 
152   817.5 822.5   2.18e+15   8.96e-28   0.00e-00   1.70e-22  1.70e-22 
153   822.5 827.5   2.20e+15   8.75e-28   0.00e-00   1.52e-22  1.52e-22 
154   827.5 832.5   2.14e+15   8.53e-28   0.00e-00   1.42e-22  1.42e-22 
155   832.5 837.5   2.14e+15   8.33e-28   0.00e-00   1.40e-22  1.40e-22 
156   837.5 842.5   2.13e+15   8.13e-28   0.00e-00   1.40e-22  1.40e-22 
157   842.5 847.5   2.09e+15   7.94e-28   0.00e-00   1.42e-22  1.42e-22 
158   847.5 852.5   2.05e+15   7.75e-28   0.00e-00   1.45e-22  1.45e-22 
