This is Bob Kurucz's extraterrestrial solar spectrum, based on
a line-by-line calculation, a theoretical model of the Sun, and
relevant datasets.  It has been averaged to 1 cm-1 resolution.
The wavenumber column value refers to an average over plus and
minus 0.5 cm-1 around that value. The columns are tab-delimited.
97/04/24: CSZ added last line of flux = 49984 cm-1 = 0 Wm-2/cm-1
Wavenumber(cm-1)	SolarSpectrum(Wm-2/cm-1)
1114	3.023E-03
1115	3.028E-03
1116	3.034E-03
1117	3.040E-03
1118	3.045E-03
1119	3.051E-03
1120	3.057E-03
1121	3.063E-03
1122	3.068E-03
1123	3.073E-03
1124	3.077E-03
1125	3.080E-03
1126	3.081E-03
1127	3.086E-03
1128	3.096E-03
1129	3.105E-03
1130	3.110E-03
1131	3.116E-03
1132	3.122E-03
1133	3.127E-03
1134	3.130E-03
1135	3.133E-03
1136	3.140E-03
1137	3.148E-03
1138	3.153E-03
1139	3.159E-03
1140	3.163E-03
1141	3.166E-03
1142	3.171E-03
1143	3.178E-03
1144	3.185E-03
1145	3.191E-03
1146	3.197E-03
1147	3.202E-03
1148	3.207E-03
1149	3.212E-03
1150	3.218E-03
1151	3.223E-03
1152	3.228E-03
1153	3.234E-03
1154	3.239E-03
1155	3.244E-03
1156	3.250E-03
1157	3.255E-03
1158	3.260E-03
1159	3.266E-03
1160	3.272E-03
1161	3.277E-03
1162	3.282E-03
1163	3.288E-03
1164	3.294E-03
1165	3.300E-03
1166	3.305E-03
1167	3.310E-03
1168	3.316E-03
1169	3.322E-03
1170	3.327E-03
1171	3.332E-03
1172	3.337E-03
1173	3.343E-03
1174	3.349E-03
1175	3.355E-03
1176	3.360E-03
1177	3.365E-03
1178	3.370E-03
1179	3.377E-03
1180	3.382E-03
1181	3.387E-03
1182	3.392E-03
1183	3.399E-03
1184	3.405E-03
1185	3.410E-03
1186	3.415E-03
1187	3.421E-03
1188	3.426E-03
1189	3.432E-03
1190	3.437E-03
1191	3.442E-03
1192	3.447E-03
1193	3.451E-03
1194	3.458E-03
1195	3.465E-03
1196	3.471E-03
1197	3.475E-03
1198	3.477E-03
1199	3.483E-03
1200	3.491E-03
1201	3.499E-03
1202	3.505E-03
1203	3.510E-03
1204	3.516E-03
1205	3.522E-03
1206	3.528E-03
1207	3.534E-03
1208	3.539E-03
1209	3.545E-03
1210	3.551E-03
1211	3.556E-03
1212	3.561E-03
1213	3.566E-03
1214	3.572E-03
1215	3.578E-03
1216	3.585E-03
1217	3.590E-03
1218	3.596E-03
1219	3.601E-03
1220	3.603E-03
1221	3.607E-03
1222	3.615E-03
1223	3.623E-03
1224	3.629E-03
1225	3.633E-03
1226	3.635E-03
1227	3.641E-03
1228	3.647E-03
1229	3.656E-03
1230	3.665E-03
1231	3.671E-03
1232	3.677E-03
1233	3.683E-03
1234	3.688E-03
1235	3.692E-03
1236	3.699E-03
1237	3.705E-03
1238	3.707E-03
1239	3.709E-03
1240	3.718E-03
1241	3.727E-03
1242	3.734E-03
1243	3.739E-03
1244	3.743E-03
1245	3.749E-03
1246	3.755E-03
1247	3.761E-03
1248	3.767E-03
1249	3.773E-03
1250	3.780E-03
1251	3.786E-03
1252	3.792E-03
1253	3.798E-03
1254	3.804E-03
1255	3.810E-03
1256	3.815E-03
1257	3.821E-03
1258	3.827E-03
1259	3.832E-03
1260	3.838E-03
1261	3.844E-03
1262	3.850E-03
1263	3.857E-03
1264	3.863E-03
1265	3.869E-03
1266	3.874E-03
1267	3.880E-03
1268	3.887E-03
1269	3.893E-03
1270	3.899E-03
1271	3.904E-03
1272	3.910E-03
1273	3.916E-03
1274	3.922E-03
1275	3.927E-03
1276	3.934E-03
1277	3.940E-03
1278	3.945E-03
1279	3.951E-03
1280	3.957E-03
1281	3.963E-03
1282	3.968E-03
1283	3.974E-03
1284	3.981E-03
1285	3.987E-03
1286	3.992E-03
1287	3.998E-03
1288	4.004E-03
1289	4.010E-03
1290	4.017E-03
1291	4.023E-03
1292	4.029E-03
1293	4.034E-03
1294	4.041E-03
1295	4.047E-03
1296	4.053E-03
1297	4.057E-03
1298	4.060E-03
1299	4.063E-03
1300	4.073E-03
1301	4.083E-03
1302	4.090E-03
1303	4.095E-03
1304	4.102E-03
1305	4.107E-03
1306	4.112E-03
1307	4.119E-03
1308	4.126E-03
1309	4.131E-03
1310	4.134E-03
1311	4.139E-03
1312	4.148E-03
1313	4.156E-03
1314	4.162E-03
1315	4.168E-03
1316	4.174E-03
1317	4.180E-03
1318	4.187E-03
1319	4.191E-03
1320	4.195E-03
1321	4.204E-03
1322	4.212E-03
1323	4.218E-03
1324	4.221E-03
1325	4.225E-03
1326	4.232E-03
1327	4.239E-03
1328	4.247E-03
1329	4.252E-03
1330	4.256E-03
1331	4.259E-03
1332	4.250E-03
1333	4.247E-03
1334	4.269E-03
1335	4.288E-03
1336	4.295E-03
1337	4.300E-03
1338	4.304E-03
1339	4.300E-03
1340	4.281E-03
1341	4.284E-03
1342	4.315E-03
1343	4.332E-03
1344	4.337E-03
1345	4.348E-03
1346	4.357E-03
1347	4.361E-03
1348	4.367E-03
1349	4.374E-03
1350	4.382E-03
1351	4.389E-03
1352	4.396E-03
1353	4.402E-03
1354	4.407E-03
1355	4.412E-03
1356	4.419E-03
1357	4.426E-03
1358	4.432E-03
1359	4.439E-03
1360	4.446E-03
1361	4.448E-03
1362	4.448E-03
1363	4.454E-03
1364	4.464E-03
1365	4.475E-03
1366	4.483E-03
1367	4.490E-03
1368	4.496E-03
1369	4.501E-03
1370	4.507E-03
1371	4.514E-03
1372	4.520E-03
1373	4.527E-03
1374	4.533E-03
1375	4.539E-03
1376	4.544E-03
1377	4.548E-03
1378	4.553E-03
1379	4.561E-03
1380	4.568E-03
1381	4.576E-03
1382	4.584E-03
1383	4.591E-03
1384	4.596E-03
1385	4.598E-03
1386	4.602E-03
1387	4.611E-03
1388	4.621E-03
1389	4.627E-03
1390	4.631E-03
1391	4.640E-03
1392	4.647E-03
1393	4.653E-03
1394	4.659E-03
1395	4.666E-03
1396	4.674E-03
1397	4.681E-03
1398	4.687E-03
1399	4.693E-03
1400	4.700E-03
1401	4.706E-03
