Fri, 28 Aug 1998 17:04:39 -0300 (ADT)
File: abs_xsx_H2OH2O_TGC98.txt
These are the data Bill Tso sent me after much correspondence.
These are the raw data which were used in TGC98. The figure in
TGC98 was prepared by taking these data and smoothing them with
a Fourier filter as explained in his previous correspondence.
These data differ significant from the original dataset Petr Chylek
sent me. Those data extended all the way to ~23000 cm-1, and the peaks
were in different locations.





Wavenumber in cm^{-1} for the first column and
absorption cross-section in 10^{-20} cm^2 for
the second column.

 607.5187988 1.003162742
 610.5263062 1.017696977
 613.5338135 1.025800943
 616.5413208 1.056302190
 619.5488892 1.071073294
 622.5563965 1.108368993
 625.5639038 1.119709969
 628.5714111 1.149408221
 631.5789185 1.155922890
 634.5864868 1.177669048
 637.5939941 1.181999445
 640.6015015 1.200486302
 643.6090088 1.204224110
 646.6165161 1.222371936
 649.6240234 1.227564931
 652.6315918 1.248258471
 655.6390991 1.258334041
 658.6466064 1.285983205
 661.6541138 1.305816412
 664.6616211 1.345723510
 667.6691895 1.379933238
 670.6766968 1.437587619
 673.6842041 1.494015694
 676.6917114 1.580420613
 679.6992188 1.630381823
 682.7067871 1.616744876
 685.7142944 1.541865349
 688.7218018 1.487352848
 691.7293091 1.431035519
 694.7368164 1.396057367
 697.7443848 1.355470657
 700.7518921 1.332786202
 703.7593994 1.303816438
 706.7669067 1.290436745
 709.7744141 1.269055724
 712.7819214 1.260642052
 715.7894897 1.242536187
 718.7969971 1.235566020
 721.8045044 1.217918277
 724.8120117 1.210366368
 727.8195190 1.191670895
 730.8270874 1.182538629
 733.8345947 1.162091851
 736.8421021 1.150920391
 739.8496094 1.128270626
 742.8571167 1.114622235
 745.8646240 1.089252353
 748.8721924 1.072806835
 751.8796997 1.044607043
 754.8872070 1.025520921
 757.8947144 0.9945394993
 760.9022217 0.9725734591
 763.9097900 0.9377364516
 766.9172974 0.9119645357
 769.9248047 0.8711221218
 772.9323120 0.8405838013
 775.9398193 0.7908152938
 778.9473877 0.7536390424
 781.9548950 0.6983929276
 784.9624023 0.6579304934
 787.9699097 0.6082724929
 790.9774170 0.5715550780
 793.9849854 0.5316291451
 796.9924927 0.5010566115
 800.0000000 0.4686112106
 803.0075073 0.4426192045
 806.0150146 0.4147116840
 809.0225220 0.3918083310
 812.0300903 0.3674331307
 815.0375977 0.3474948704
 818.0451050 0.3265051842
 821.0526123 0.3094199300
 824.0601196 0.2914031744
 827.0676880 0.2766477466
 830.0751953 0.2609335780
 833.0827026 0.2480994761
 836.0902100 0.2342897058
 839.0977173 0.2229655981
 842.1052246 0.2108172774
 845.1127930 0.2008362561
 848.1203003 0.1900142878
 851.1278076 0.1810472459
 854.1353149 0.1712754667
 857.1428223 0.1630261391
 860.1503906 0.1538275778
 863.1578979 0.1462896913
 866.1654053 0.1384349465
 869.1729126 0.1322700679
 872.1804199 0.1251736432
 875.1879883 0.1193738729
 878.1954956 0.1132079065
 881.2030029 0.1082099974
 884.2105103 0.1027365252
