This is Bob Kurucz's extraterrestrial solar spectrum, based on
a line-by-line calculation, a theoretical model of the Sun, and
relevant datasets.  It has been averaged to 20 cm-1 resolution.
The wavenumber column value refers to an average over plus and
minus 10 cm-1 around that value. The columns are tab-delimited.
97/04/24: CSZ added first line of flux = 49980 cm-1 = 0 Wm-2/cm-1
Wavenumber(cm-1)	SolarSpectrum(Wm-2/cm-1)
14680.0	0.69250E-01
14700.0	0.69500E-01
14720.0	0.69550E-01
14740.0	0.69450E-01
14760.0	0.69700E-01
14780.0	0.69250E-01
14800.0	0.69300E-01
14820.0	0.69350E-01
14840.0	0.69450E-01
14860.0	0.69300E-01
14880.0	0.68600E-01
14900.0	0.68700E-01
14920.0	0.68750E-01
14940.0	0.69750E-01
14960.0	0.69200E-01
14980.0	0.69450E-01
15000.0	0.67600E-01
15020.0	0.69350E-01
15040.0	0.68400E-01
15060.0	0.68100E-01
15080.0	0.68450E-01
15100.0	0.69500E-01
15120.0	0.68400E-01
15140.0	0.69200E-01
15160.0	0.66400E-01
15180.0	0.68500E-01
15200.0	0.66700E-01
15220.0	0.61600E-01
15240.0	0.53200E-01
15260.0	0.66550E-01
15280.0	0.67000E-01
15300.0	0.68200E-01
15320.0	0.68350E-01
15340.0	0.67650E-01
15360.0	0.68450E-01
15380.0	0.65300E-01
15400.0	0.64950E-01
15420.0	0.67850E-01
15440.0	0.67350E-01
15460.0	0.65400E-01
15480.0	0.67100E-01
15500.0	0.67250E-01
15520.0	0.66300E-01
15540.0	0.66750E-01
15560.0	0.67350E-01
15580.0	0.66450E-01
15600.0	0.66000E-01
15620.0	0.66150E-01
15640.0	0.66650E-01
15660.0	0.67000E-01
15680.0	0.68100E-01
15700.0	0.66450E-01
15720.0	0.64900E-01
15740.0	0.66550E-01
15760.0	0.66150E-01
15780.0	0.65050E-01
15800.0	0.67600E-01
15820.0	0.63000E-01
15840.0	0.66300E-01
15860.0	0.65350E-01
15880.0	0.66750E-01
15900.0	0.67400E-01
15920.0	0.66400E-01
15940.0	0.66450E-01
15960.0	0.65700E-01
15980.0	0.61950E-01
16000.0	0.64550E-01
16020.0	0.63500E-01
16040.0	0.64000E-01
16060.0	0.66300E-01
16080.0	0.63950E-01
16100.0	0.67150E-01
16120.0	0.66000E-01
16140.0	0.64650E-01
16160.0	0.66200E-01
16180.0	0.65300E-01
16200.0	0.62750E-01
16220.0	0.60250E-01
16240.0	0.63650E-01
16260.0	0.64100E-01
16280.0	0.61600E-01
16300.0	0.63400E-01
16320.0	0.62500E-01
16340.0	0.65300E-01
16360.0	0.64850E-01
16380.0	0.63550E-01
16400.0	0.65250E-01
16420.0	0.64750E-01
16440.0	0.64350E-01
16460.0	0.66500E-01
16480.0	0.64600E-01
16500.0	0.65550E-01
16520.0	0.66000E-01
16540.0	0.66000E-01
16560.0	0.66000E-01
16580.0	0.64100E-01
16600.0	0.63250E-01
16620.0	0.63650E-01
16640.0	0.63500E-01
16660.0	0.64000E-01
16680.0	0.64750E-01
16700.0	0.64000E-01
16720.0	0.64200E-01
16740.0	0.64950E-01
16760.0	0.65000E-01
16780.0	0.64600E-01
16800.0	0.63100E-01
16820.0	0.64650E-01
16840.0	0.64400E-01
16860.0	0.62500E-01
16880.0	0.64550E-01
16900.0	0.62600E-01
16920.0	0.63500E-01
16940.0	0.63900E-01
16960.0	0.56850E-01
16980.0	0.57350E-01
17000.0	0.62900E-01
17020.0	0.64350E-01
17040.0	0.63550E-01
